,node_num,edge_num,in_channels,out_channels,agg_time,map_time
0,1823,44330,50,16,166.78333282470703,82.7932357788086
0,1377,29704,50,16,166.40663146972656,77.38828659057617
0,1767,32318,50,16,136.05594635009766,65.49358367919922
0,591,7708,50,16,144.01674270629883,53.41053009033203
0,2263,59644,50,16,146.0409164428711,68.24731826782227
0,2326,59862,50,16,142.76504516601562,66.3304328918457
0,1021,18216,50,16,138.66424560546875,64.90945816040039
0,2650,77064,50,16,143.95952224731445,66.69759750366211
0,1819,45768,50,16,139.80865478515625,65.88220596313477
0,2488,70390,50,16,145.22314071655273,67.76809692382812
0,2339,65430,50,16,146.31986618041992,67.97313690185547
0,1878,46268,50,16,139.78958129882812,68.29023361206055
0,2815,85520,50,16,145.87640762329102,68.78852844238281
0,3163,94158,50,16,150.1297950744629,67.14105606079102
0,2794,85318,50,16,163.7744903564453,71.3968276977539
0,3021,91338,50,16,177.84357070922852,74.3722915649414
0,1578,36162,50,16,151.71527862548828,69.2892074584961
0,3312,106198,50,16,182.60955810546875,73.79293441772461
0,3480,106754,50,16,165.91787338256836,70.24765014648438
0,2401,64218,50,16,145.13254165649414,66.91455841064453
